"","gu","day","value"
"295","강남구",2010-10-22,9
"296","강남구",2010-10-23,7
"297","강남구",2010-10-24,4
"298","강남구",2010-10-25,9
"299","강남구",2010-10-26,13
"300","강남구",2010-10-27,8
"301","강남구",2010-10-28,14
"302","강남구",2010-10-29,8
"303","강남구",2010-10-30,9
"304","강남구",2010-10-31,4
"305","강남구",2010-11-01,4
"306","강남구",2010-11-02,9
"307","강남구",2010-11-03,10
"308","강남구",2010-11-04,9
"309","강남구",2010-11-05,13
"310","강남구",2010-11-06,14
"311","강남구",2010-11-07,4
"312","강남구",2010-11-08,17
"313","강남구",2010-11-09,13
"314","강남구",2010-11-10,11
"315","강남구",2010-11-11,11
"316","강남구",2010-11-12,11
"317","강남구",2010-11-13,11
"318","강남구",2010-11-14,9
"319","강남구",2010-11-15,12
"320","강남구",2010-11-16,13
"321","강남구",2010-11-17,11
"322","강남구",2010-11-18,12
"323","강남구",2010-11-19,9
"324","강남구",2010-11-20,9
"325","강남구",2010-11-21,3
"326","강남구",2010-11-22,6
"327","강남구",2010-11-23,10
"328","강남구",2010-11-24,12
"329","강남구",2010-11-25,6
"330","강남구",2010-11-26,12
"331","강남구",2010-11-27,9
"332","강남구",2010-11-28,7
"333","강남구",2010-11-29,7
"334","강남구",2010-11-30,16
"335","강남구",2010-12-01,6
"336","강남구",2010-12-02,11
"337","강남구",2010-12-03,17
"338","강남구",2010-12-04,14
"339","강남구",2010-12-05,8
"340","강남구",2010-12-06,12
"341","강남구",2010-12-07,14
"342","강남구",2010-12-08,7
"343","강남구",2010-12-09,8
"344","강남구",2010-12-10,15
"345","강남구",2010-12-11,12
"346","강남구",2010-12-12,9
"347","강남구",2010-12-13,3
"348","강남구",2010-12-14,9
"349","강남구",2010-12-15,17
"350","강남구",2010-12-16,9
"351","강남구",2010-12-17,8
"352","강남구",2010-12-18,8
"353","강남구",2010-12-19,4
"354","강남구",2010-12-20,10
"355","강남구",2010-12-21,6
"356","강남구",2010-12-22,7
"357","강남구",2010-12-23,9
"358","강남구",2010-12-24,7
"359","강남구",2010-12-25,8
"360","강남구",2010-12-26,5
"361","강남구",2010-12-27,3
"362","강남구",2010-12-28,10
"363","강남구",2010-12-29,9
"364","강남구",2010-12-30,11
"365","강남구",2010-12-31,6
"366","강동구",2010-01-01,3
"367","강동구",2010-01-02,3
"368","강동구",2010-01-03,4
"369","강동구",2010-01-04,2
"370","강동구",2010-01-05,0
"371","강동구",2010-01-06,2
"372","강동구",2010-01-07,1
"373","강동구",2010-01-08,8
"374","강동구",2010-01-09,5
"375","강동구",2010-01-10,4
"376","강동구",2010-01-11,2
"377","강동구",2010-01-12,2
"378","강동구",2010-01-13,7
"379","강동구",2010-01-14,3
"380","강동구",2010-01-15,4
"381","강동구",2010-01-16,3
"382","강동구",2010-01-17,2
"383","강동구",2010-01-18,6
"384","강동구",2010-01-19,6
"385","강동구",2010-01-20,6
"386","강동구",2010-01-21,3
"387","강동구",2010-01-22,3
"388","강동구",2010-01-23,1
"389","강동구",2010-01-24,2
"390","강동구",2010-01-25,8
"391","강동구",2010-01-26,8
"392","강동구",2010-01-27,3
"393","강동구",2010-01-28,4
"394","강동구",2010-01-29,3
"395","강동구",2010-01-30,3
"396","강동구",2010-01-31,3
"397","강동구",2010-02-01,5
"398","강동구",2010-02-02,4
"399","강동구",2010-02-03,3
"400","강동구",2010-02-04,3
"401","강동구",2010-02-05,5
"402","강동구",2010-02-06,1
"403","강동구",2010-02-07,3
"404","강동구",2010-02-08,6
"405","강동구",2010-02-09,2
"406","강동구",2010-02-10,4
"407","강동구",2010-02-11,8
"408","강동구",2010-02-12,6
"409","강동구",2010-02-13,3
"410","강동구",2010-02-14,3
"411","강동구",2010-02-15,2
"412","강동구",2010-02-16,5
"413","강동구",2010-02-17,1
"414","강동구",2010-02-18,3
"415","강동구",2010-02-19,5
"416","강동구",2010-02-20,1
"417","강동구",2010-02-21,0
"418","강동구",2010-02-22,5
"419","강동구",2010-02-23,6
"420","강동구",2010-02-24,2
"421","강동구",2010-02-25,1
"422","강동구",2010-02-26,4
"423","강동구",2010-02-27,2
"424","강동구",2010-02-28,4
"425","강동구",2010-03-01,3
"426","강동구",2010-03-02,4
"427","강동구",2010-03-03,4
"428","강동구",2010-03-04,2
"429","강동구",2010-03-05,6
"430","강동구",2010-03-06,6
"431","강동구",2010-03-07,4
"432","강동구",2010-03-08,3
"433","강동구",2010-03-09,7
"434","강동구",2010-03-10,4
"435","강동구",2010-03-11,3
"436","강동구",2010-03-12,4
"437","강동구",2010-03-13,0
"438","강동구",2010-03-14,4
"439","강동구",2010-03-15,3
"440","강동구",2010-03-16,5
"441","강동구",2010-03-17,3
"442","강동구",2010-03-18,3
"443","강동구",2010-03-19,3
"444","강동구",2010-03-20,5
"445","강동구",2010-03-21,1
"446","강동구",2010-03-22,2
"447","강동구",2010-03-23,2
"448","강동구",2010-03-24,3
"449","강동구",2010-03-25,7
"450","강동구",2010-03-26,3
"451","강동구",2010-03-27,2
"452","강동구",2010-03-28,4
"453","강동구",2010-03-29,1
"454","강동구",2010-03-30,8
"455","강동구",2010-03-31,4
"456","강동구",2010-04-01,5
"457","강동구",2010-04-02,6
"458","강동구",2010-04-03,3
"459","강동구",2010-04-04,0
"460","강동구",2010-04-05,1
"461","강동구",2010-04-06,3
"462","강동구",2010-04-07,0
"463","강동구",2010-04-08,2
"464","강동구",2010-04-09,2
"465","강동구",2010-04-10,5
"466","강동구",2010-04-11,6
"467","강동구",2010-04-12,4
"468","강동구",2010-04-13,4
"469","강동구",2010-04-14,4
"470","강동구",2010-04-15,5
"471","강동구",2010-04-16,3
"472","강동구",2010-04-17,6
"473","강동구",2010-04-18,2
"474","강동구",2010-04-19,1
"475","강동구",2010-04-20,5
"476","강동구",2010-04-21,7
"477","강동구",2010-04-22,2
"478","강동구",2010-04-23,4
"479","강동구",2010-04-24,4
"480","강동구",2010-04-25,3
"481","강동구",2010-04-26,4
"482","강동구",2010-04-27,2
"483","강동구",2010-04-28,4
"484","강동구",2010-04-29,8
"485","강동구",2010-04-30,6
"486","강동구",2010-05-01,3
"487","강동구",2010-05-02,3
"488","강동구",2010-05-03,5
"489","강동구",2010-05-04,1
"490","강동구",2010-05-05,6
"491","강동구",2010-05-06,7
"492","강동구",2010-05-07,3
"493","강동구",2010-05-08,4
"494","강동구",2010-05-09,2
"495","강동구",2010-05-10,4
"496","강동구",2010-05-11,4
"497","강동구",2010-05-12,5
"498","강동구",2010-05-13,2
"499","강동구",2010-05-14,5
"500","강동구",2010-05-15,10
"501","강동구",2010-05-16,1
"502","강동구",2010-05-17,4
"503","강동구",2010-05-18,12
"504","강동구",2010-05-19,5
"505","강동구",2010-05-20,10
"506","강동구",2010-05-21,5
"507","강동구",2010-05-22,3
"508","강동구",2010-05-23,7
"509","강동구",2010-05-24,3
"510","강동구",2010-05-25,8
"511","강동구",2010-05-26,3
"512","강동구",2010-05-27,3
"513","강동구",2010-05-28,7
"514","강동구",2010-05-29,7
"515","강동구",2010-05-30,5
"516","강동구",2010-05-31,2
"517","강동구",2010-06-01,2
"518","강동구",2010-06-02,2
"519","강동구",2010-06-03,2
"520","강동구",2010-06-04,8
"521","강동구",2010-06-05,2
"522","강동구",2010-06-06,2
"523","강동구",2010-06-07,3
"524","강동구",2010-06-08,2
"525","강동구",2010-06-09,2
"526","강동구",2010-06-10,6
"527","강동구",2010-06-11,5
"528","강동구",2010-06-12,3
"529","강동구",2010-06-13,6
"530","강동구",2010-06-14,4
"531","강동구",2010-06-15,6
"532","강동구",2010-06-16,1
"533","강동구",2010-06-17,4
"534","강동구",2010-06-18,4
"535","강동구",2010-06-19,6
"536","강동구",2010-06-20,5
"537","강동구",2010-06-21,4
"538","강동구",2010-06-22,3
"539","강동구",2010-06-23,6
"540","강동구",2010-06-24,3
"541","강동구",2010-06-25,3
"542","강동구",2010-06-26,6
"543","강동구",2010-06-27,2
"544","강동구",2010-06-28,5
"545","강동구",2010-06-29,2
"546","강동구",2010-06-30,1
"547","강동구",2010-07-01,3
"548","강동구",2010-07-02,0
"549","강동구",2010-07-03,6
"550","강동구",2010-07-04,7
"551","강동구",2010-07-05,6
"552","강동구",2010-07-06,3
"553","강동구",2010-07-07,2
"554","강동구",2010-07-08,3
"555","강동구",2010-07-09,7
"556","강동구",2010-07-10,9
"557","강동구",2010-07-11,3
"558","강동구",2010-07-12,8
"559","강동구",2010-07-13,2
"560","강동구",2010-07-14,3
"561","강동구",2010-07-15,3
"562","강동구",2010-07-16,8
"563","강동구",2010-07-17,4
"564","강동구",2010-07-18,4
"565","강동구",2010-07-19,4
"566","강동구",2010-07-20,2
"567","강동구",2010-07-21,5
"568","강동구",2010-07-22,5
"569","강동구",2010-07-23,4
"570","강동구",2010-07-24,3
"571","강동구",2010-07-25,2
"572","강동구",2010-07-26,1
"573","강동구",2010-07-27,3
"574","강동구",2010-07-28,4
"575","강동구",2010-07-29,3
"576","강동구",2010-07-30,7
"577","강동구",2010-07-31,2
"578","강동구",2010-08-01,3
"579","강동구",2010-08-02,1
"580","강동구",2010-08-03,7
"581","강동구",2010-08-04,3
"582","강동구",2010-08-05,2
"583","강동구",2010-08-06,2
"584","강동구",2010-08-07,1
"585","강동구",2010-08-08,1
"586","강동구",2010-08-09,2
"587","강동구",2010-08-10,3
"588","강동구",2010-08-11,4
"589","강동구",2010-08-12,3
"590","강동구",2010-08-13,4
"591","강동구",2010-08-14,5
"592","강동구",2010-08-15,6
"593","강동구",2010-08-16,1
"594","강동구",2010-08-17,4
"595","강동구",2010-08-18,4
"596","강동구",2010-08-19,4
"597","강동구",2010-08-20,2
"598","강동구",2010-08-21,7
"599","강동구",2010-08-22,3
"600","강동구",2010-08-23,3
"601","강동구",2010-08-24,4
"602","강동구",2010-08-25,4
"603","강동구",2010-08-26,4
"604","강동구",2010-08-27,6
"605","강동구",2010-08-28,6
"606","강동구",2010-08-29,7
"607","강동구",2010-08-30,7
"608","강동구",2010-08-31,8
"609","강동구",2010-09-01,5
"610","강동구",2010-09-02,5
"611","강동구",2010-09-03,2
"612","강동구",2010-09-04,8
"613","강동구",2010-09-05,3
"614","강동구",2010-09-06,5
"615","강동구",2010-09-07,4
"616","강동구",2010-09-08,2
"617","강동구",2010-09-09,8
"618","강동구",2010-09-10,2
"619","강동구",2010-09-11,6
